row_id;order_id;order_date;ship_date;ship_mode;customer_id;product_id
22;CA-2017-137330;2022-03-09;2022-03-13;Standard Class;KB-16585;OFF-AR-10000246
23;CA-2017-137330;2022-03-09;2022-03-13;Standard Class;KB-16585;OFF-AP-10001492
24;US-2018-156909;2022-10-14;2022-10-16;Second Class;SF-20065;FUR-CH-10002774
25;CA-2016-106320;2020-12-24;2020-12-29;Standard Class;EB-13870;FUR-TA-10000577
26;CA-2017-121755;2021-04-16;2021-04-20;Second Class;EH-13945;OFF-BI-10001634
27;CA-2017-121755;2021-04-16;2021-04-20;Second Class;EH-13945;TEC-AC-10003027
28;US-2016-150630;2020-12-16;2020-12-20;Standard Class;TB-21520;FUR-BO-10004834
29;US-2016-150630;2020-12-16;2020-12-20;Standard Class;TB-21520;OFF-BI-10000474
30;US-2016-150630;2020-12-16;2020-12-20;Standard Class;TB-21520;FUR-FU-10004848
31;US-2016-150630;2020-12-16;2020-12-20;Standard Class;TB-21520;OFF-EN-10001509
32;US-2016-150630;2020-12-16;2020-12-20;Standard Class;TB-21520;OFF-AR-10004042
33;US-2016-150630;2020-12-16;2020-12-20;Standard Class;TB-21520;OFF-BI-10001525
34;US-2016-150630;2020-12-16;2020-12-20;Standard Class;TB-21520;OFF-AR-10001683
35;CA-2018-107727;2023-01-17;2023-01-21;Second Class;MA-17560;OFF-PA-10000249
36;CA-2017-117590;2022-03-08;2022-03-10;First Class;GH-14485;TEC-PH-10004977
37;CA-2017-117590;2022-03-08;2022-03-10;First Class;GH-14485;FUR-FU-10003664
38;CA-2016-117415;2021-03-27;2021-03-31;Standard Class;SN-20710;OFF-EN-10002986
39;CA-2016-117415;2021-03-27;2021-03-31;Standard Class;SN-20710;FUR-BO-10002545
40;CA-2016-117415;2021-03-27;2021-03-31;Standard Class;SN-20710;FUR-CH-10004218
41;CA-2016-117415;2021-03-27;2021-03-31;Standard Class;SN-20710;TEC-PH-10000486
42;CA-2018-120999;2022-12-09;2022-12-14;Standard Class;LC-16930;TEC-PH-10004093
43;CA-2017-101343;2021-10-15;2021-10-20;Standard Class;RA-19885;OFF-ST-10003479
44;CA-2018-139619;2022-12-18;2022-12-22;Standard Class;ES-14080;OFF-ST-10003282
45;CA-2017-118255;2021-06-09;2021-06-11;First Class;ON-18715;TEC-AC-10000171
46;CA-2017-118255;2021-06-09;2021-06-11;First Class;ON-18715;OFF-BI-10003291
47;CA-2015-146703;2020-01-18;2020-01-23;Second Class;PO-18865;OFF-ST-10001713
48;CA-2017-169194;2021-09-18;2021-09-23;Standard Class;LH-16900;TEC-AC-10002167
49;CA-2017-169194;2021-09-18;2021-09-23;Standard Class;LH-16900;TEC-PH-10003988
50;CA-2016-115742;2020-07-17;2020-07-21;Standard Class;DP-13000;OFF-BI-10004410
51;CA-2016-115742;2020-07-17;2020-07-21;Standard Class;DP-13000;OFF-LA-10002762
52;CA-2016-115742;2020-07-17;2020-07-21;Standard Class;DP-13000;FUR-FU-10001706
53;CA-2016-115742;2020-07-17;2020-07-21;Standard Class;DP-13000;FUR-CH-10003061
54;CA-2017-105816;2022-03-11;2022-03-17;Standard Class;JM-15265;OFF-FA-10000304
55;CA-2017-105816;2022-03-11;2022-03-17;Standard Class;JM-15265;TEC-PH-10002447
56;CA-2017-111682;2021-09-15;2021-09-16;First Class;TB-21055;OFF-ST-10000604
57;CA-2017-111682;2021-09-15;2021-09-16;First Class;TB-21055;OFF-PA-10001569
58;CA-2017-111682;2021-09-15;2021-09-16;First Class;TB-21055;FUR-CH-10003968
59;CA-2017-111682;2021-09-15;2021-09-16;First Class;TB-21055;OFF-PA-10000587
60;CA-2017-111682;2021-09-15;2021-09-16;First Class;TB-21055;TEC-AC-10002167
61;CA-2017-111682;2021-09-15;2021-09-16;First Class;TB-21055;OFF-BI-10001460
62;CA-2017-111682;2021-09-15;2021-09-16;First Class;TB-21055;OFF-AR-10001868
63;CA-2016-135545;2021-02-22;2021-02-28;Standard Class;;TEC-AC-10004633
64;CA-2016-135545;2021-02-22;2021-02-28;Standard Class;KM-16720;OFF-BI-10001078
65;CA-2016-135545;2021-02-22;2021-02-28;Standard Class;KM-16720;OFF-PA-10003892
66;CA-2016-135545;2021-02-22;2021-02-28;Standard Class;KM-16720;FUR-FU-10000397
67;US-2016-164175;2020-07-29;2020-08-03;Standard Class;PS-18970;FUR-CH-10001146
68;CA-2015-106376;2020-03-04;2020-03-09;Standard Class;BS-11590;OFF-AR-10002671
69;CA-2015-106376;2020-03-04;2020-03-09;Standard Class;BS-11590;TEC-PH-10002726
70;CA-2017-119823;2021-09-02;2021-09-04;First Class;KD-16270;OFF-PA-10000482
71;CA-2017-106075;2021-12-17;2021-12-22;Standard Class;HM-14980;OFF-BI-10004654
72;CA-2018-114440;2022-12-13;2022-12-16;Second Class;TB-21520;OFF-PA-10004675
73;US-2016-134026;2020-07-25;2020-07-31;Standard Class;JE-15745;FUR-CH-10000513
74;US-2016-134026;2020-07-25;2020-07-31;Standard Class;JE-15745;FUR-FU-10003708
75;US-2016-134026;2020-07-25;2020-07-31;Standard Class;JE-15745;OFF-ST-10004123
76;US-2018-118038;2023-03-09;2023-03-11;First Class;KB-16600;OFF-BI-10004182
77;US-2018-118038;2023-03-09;2023-03-11;First Class;KB-16600;FUR-FU-10000260
78;US-2018-118038;2023-03-09;2023-03-11;First Class;KB-16600;OFF-ST-10000615
79;US-2015-147606;2020-02-24;2020-02-29;Second Class;JE-15745;FUR-FU-10003194
80;CA-2017-127208;2021-09-10;2021-09-13;First Class;SC-20770;OFF-AP-10002118
81;CA-2017-127208;2021-09-10;2021-09-13;First Class;SC-20770;OFF-BI-10002309
82;CA-2015-139451;2020-01-10;2020-01-14;Standard Class;DN-13690;OFF-AR-10002053
83;CA-2015-139451;2020-01-10;2020-01-14;Standard Class;DN-13690;OFF-ST-10002370
84;CA-2016-149734;2020-12-02;2020-12-07;Standard Class;JC-16105;OFF-EN-10000927
85;US-2018-119662;2023-02-11;2023-02-14;First Class;CS-12400;OFF-ST-10003656
86;CA-2018-140088;2022-08-26;2022-08-28;Second Class;PO-18865;FUR-CH-10000863
87;CA-2018-155558;2023-01-24;2023-01-31;Standard Class;PG-18895;TEC-AC-10001998
88;CA-2018-155558;2023-01-24;2023-01-31;Standard Class;PG-18895;OFF-LA-10000134
89;CA-2017-159695;2021-07-04;2021-07-09;Second Class;GM-14455;OFF-ST-10003442
90;CA-2017-109806;2021-12-16;2021-12-21;Standard Class;JS-15685;OFF-AR-10004930
91;CA-2017-109806;2021-12-16;2021-12-21;Standard Class;JS-15685;TEC-PH-10004093
92;CA-2017-109806;2021-12-16;2021-12-21;Standard Class;JS-15685;OFF-PA-10000304
93;CA-2016-149587;2020-04-30;2020-05-05;Second Class;KB-16315;OFF-PA-10003177
94;CA-2016-149587;2020-04-30;2020-05-05;Second Class;KB-16315;FUR-FU-10003799
95;CA-2016-149587;2020-04-30;2020-05-05;Second Class;KB-16315;OFF-BI-10002852
96;US-2018-109484;2023-02-04;2023-02-10;Standard Class;RB-19705;OFF-BI-10004738
97;CA-2018-161018;2023-02-07;2023-02-09;Second Class;PN-18775;FUR-FU-10000629
98;CA-2018-157833;2022-09-15;2022-09-18;First Class;KD-16345;OFF-BI-10001721
99;CA-2017-149223;2021-12-05;2021-12-10;Standard Class;ER-13855;OFF-AP-10000358
100;CA-2017-158568;2021-11-27;2021-12-01;Standard Class;RB-19465;OFF-PA-10003256
101;CA-2017-158568;2021-11-27;2021-12-01;Standard Class;RB-19465;TEC-AC-10001767
102;CA-2017-158568;2021-11-27;2021-12-01;Standard Class;RB-19465;OFF-BI-10002609
103;CA-2017-129903;2022-03-01;2022-03-04;Second Class;GZ-14470;OFF-PA-10004040
104;US-2016-156867;2021-02-11;2021-02-15;Standard Class;;TEC-AC-10001552
105;US-2016-156867;2021-02-11;2021-02-15;Standard Class;LC-16870;FUR-FU-10004006
106;US-2016-156867;2021-02-11;2021-02-15;Standard Class;LC-16870;OFF-BI-10002794
107;CA-2018-119004;2023-02-21;2023-02-26;Standard Class;JM-15250;TEC-AC-10003499
108;CA-2018-119004;2023-02-21;2023-02-26;Standard Class;JM-15250;TEC-PH-10002844
109;CA-2018-119004;2023-02-21;2023-02-26;Standard Class;JM-15250;OFF-AR-10000390
110;CA-2016-129476;2021-01-13;2021-01-18;Standard Class;PA-19060;TEC-AC-10000844
111;CA-2018-146780;2023-03-25;2023-03-30;Standard Class;CV-12805;FUR-FU-10001934
112;CA-2017-128867;2022-02-01;2022-02-08;Standard Class;CL-12565;OFF-AR-10000380
113;CA-2017-128867;2022-02-01;2022-02-08;Standard Class;CL-12565;OFF-BI-10003981
114;CA-2015-115259;2019-11-23;2019-11-25;Second Class;RC-19960;OFF-FA-10000621
115;CA-2015-115259;2019-11-23;2019-11-25;Second Class;RC-19960;OFF-EN-10002600
116;CA-2015-115259;2019-11-23;2019-11-25;Second Class;RC-19960;OFF-PA-10004965
117;CA-2015-115259;2019-11-23;2019-11-25;Second Class;RC-19960;OFF-EN-10002504
118;CA-2016-110457;2020-05-31;2020-06-04;Standard Class;DK-13090;FUR-TA-10001768
119;US-2016-136476;2020-07-04;2020-07-09;Standard Class;GG-14650;OFF-BI-10003650
120;CA-2017-103730;2021-09-10;2021-09-13;First Class;SC-20725;FUR-FU-10002157
121;CA-2017-103730;2021-09-10;2021-09-13;First Class;SC-20725;OFF-BI-10003910
122;CA-2017-103730;2021-09-10;2021-09-13;First Class;SC-20725;OFF-ST-10000777
123;CA-2017-103730;2021-09-10;2021-09-13;First Class;SC-20725;OFF-EN-10002500
124;CA-2017-103730;2021-09-10;2021-09-13;First Class;SC-20725;TEC-PH-10003875
125;US-2015-152030;2020-03-25;2020-03-27;Second Class;AD-10180;FUR-CH-10004063
126;US-2015-134614;2019-12-19;2019-12-24;Standard Class;PF-19165;FUR-TA-10004534
127;US-2018-107272;2023-02-03;2023-02-10;Standard Class;TS-21610;OFF-BI-10003274
128;US-2018-107272;2023-02-03;2023-02-10;Standard Class;TS-21610;OFF-ST-10002974
129;US-2017-125969;2022-02-04;2022-02-08;Second Class;LS-16975;FUR-CH-10001146
130;US-2017-125969;2022-02-04;2022-02-08;Second Class;LS-16975;FUR-FU-10003773
131;US-2018-164147;2022-05-03;2022-05-06;First Class;DW-13585;TEC-PH-10002293
132;US-2018-164147;2022-05-03;2022-05-06;First Class;DW-13585;OFF-PA-10002377
133;US-2018-164147;2022-05-03;2022-05-06;First Class;DW-13585;OFF-FA-10002780
134;CA-2017-145583;2022-01-11;2022-01-17;Standard Class;LC-16885;OFF-PA-10001804
135;CA-2017-145583;2022-01-11;2022-01-17;Standard Class;LC-16885;OFF-PA-10001736
136;CA-2017-145583;2022-01-11;2022-01-17;Standard Class;LC-16885;OFF-AR-10001149
137;CA-2017-145583;2022-01-11;2022-01-17;Standard Class;;OFF-FA-10002988
138;CA-2017-145583;2022-01-11;2022-01-17;Standard Class;LC-16885;OFF-BI-10004781
139;CA-2017-145583;2022-01-11;2022-01-17;Standard Class;LC-16885;OFF-SU-10001218
140;CA-2017-145583;2022-01-11;2022-01-17;Standard Class;LC-16885;FUR-FU-10001706
141;CA-2017-110366;2021-12-04;2021-12-06;Second Class;JD-15895;FUR-FU-10004848
142;CA-2018-106180;2022-12-17;2022-12-22;Standard Class;SH-19975;OFF-AR-10000940
143;CA-2018-106180;2022-12-17;2022-12-22;Standard Class;SH-19975;OFF-EN-10004030
144;CA-2018-106180;2022-12-17;2022-12-22;Standard Class;SH-19975;OFF-PA-10004327
145;CA-2018-155376;2023-03-22;2023-03-27;Standard Class;SG-20080;OFF-AP-10001058
146;CA-2016-110744;2020-12-06;2020-12-11;Standard Class;HA-14920;OFF-ST-10003656
147;CA-2015-110072;2020-01-20;2020-01-26;Standard Class;MG-17680;FUR-FU-10000521
148;CA-2017-114489;2022-03-05;2022-03-09;Standard Class;JE-16165;TEC-PH-10000215
149;CA-2017-114489;2022-03-05;2022-03-09;Standard Class;JE-16165;TEC-PH-10001448
150;CA-2017-114489;2022-03-05;2022-03-09;Standard Class;JE-16165;FUR-CH-10000454
151;CA-2017-114489;2022-03-05;2022-03-09;Standard Class;JE-16165;OFF-BI-10002735
152;CA-2017-158834;2021-06-11;2021-06-14;First Class;TW-21025;OFF-AP-10000326
153;CA-2017-158834;2021-06-11;2021-06-14;First Class;TW-21025;TEC-PH-10001254
154;CA-2016-124919;2020-08-29;2020-08-31;First Class;SP-20650;OFF-PA-10001950
155;CA-2016-124919;2020-08-29;2020-08-31;First Class;SP-20650;OFF-PA-10002254
156;CA-2016-124919;2020-08-29;2020-08-31;First Class;SP-20650;OFF-ST-10001590
157;CA-2016-118948;2020-08-26;2020-09-01;Standard Class;NK-18490;OFF-AR-10001547
158;CA-2015-104269;2019-05-30;2019-06-04;Second Class;DB-13060;FUR-CH-10004063
159;CA-2017-114104;2022-02-18;2022-02-22;Standard Class;NP-18670;OFF-LA-10002475
160;CA-2017-114104;2022-02-18;2022-02-22;Standard Class;NP-18670;TEC-PH-10004536
161;CA-2017-162733;2021-08-09;2021-08-10;First Class;TT-21070;OFF-PA-10002751
162;CA-2016-119697;2021-03-28;2021-03-31;Second Class;EM-13960;TEC-AC-10003657
163;CA-2017-154508;2022-02-14;2022-02-18;Standard Class;RD-19900;OFF-EN-10001990
164;CA-2017-113817;2022-02-05;2022-02-09;Standard Class;MJ-17740;OFF-BI-10004002
165;CA-2015-139892;2019-12-07;2019-12-11;Standard Class;BM-11140;OFF-AR-10004441
166;CA-2015-139892;2019-12-07;2019-12-11;Standard Class;BM-11140;TEC-MA-10000822
167;CA-2015-139892;2019-12-07;2019-12-11;Standard Class;BM-11140;OFF-ST-10000991
168;CA-2015-139892;2019-12-07;2019-12-11;Standard Class;BM-11140;FUR-CH-10004287
169;CA-2015-139892;2019-12-07;2019-12-11;Standard Class;BM-11140;OFF-AR-10002656
170;CA-2015-139892;2019-12-07;2019-12-11;Standard Class;BM-11140;OFF-AP-10002518
171;CA-2015-139892;2019-12-07;2019-12-11;Standard Class;BM-11140;TEC-PH-10003931
172;CA-2015-118962;2019-11-03;2019-11-07;Standard Class;CS-12130;OFF-PA-10000659
173;CA-2015-118962;2019-11-03;2019-11-07;Standard Class;;OFF-PA-10001144
174;CA-2015-118962;2019-11-03;2019-11-07;Standard Class;CS-12130;FUR-CH-10003817
175;US-2015-100853;2019-12-13;2019-12-18;Standard Class;JB-15400;OFF-AP-10000891
176;US-2015-100853;2019-12-13;2019-12-18;Standard Class;JB-15400;OFF-LA-10003148
177;US-2018-152366;2022-07-20;2022-07-24;Second Class;SJ-20500;OFF-AP-10002684
178;US-2016-101511;2021-02-19;2021-02-21;Second Class;JE-15745;FUR-CH-10004698
179;US-2016-101511;2021-02-19;2021-02-21;Second Class;JE-15745;OFF-SU-10002189
180;CA-2016-137225;2021-03-15;2021-03-19;Standard Class;JK-15640;OFF-AR-10001940
181;CA-2015-166191;2020-03-04;2020-03-08;Second Class;DK-13150;OFF-ST-10003455
182;CA-2015-166191;2020-03-04;2020-03-08;Second Class;DK-13150;TEC-AC-10004659
183;CA-2015-158274;2020-02-17;2020-02-22;Second Class;RM-19675;TEC-PH-10003273
184;CA-2015-158274;2020-02-17;2020-02-22;Second Class;RM-19675;TEC-PH-10004896
185;CA-2015-158274;2020-02-17;2020-02-22;Second Class;RM-19675;TEC-AC-10002345
186;CA-2017-105018;2022-02-26;2022-03-02;Standard Class;SK-19990;OFF-BI-10001890
187;CA-2015-123260;2019-11-24;2019-11-28;Standard Class;FM-14290;TEC-AC-10002323
188;CA-2017-157000;2021-10-14;2021-10-20;Standard Class;AM-10360;OFF-ST-10001328
189;CA-2017-157000;2021-10-14;2021-10-20;Standard Class;AM-10360;OFF-PA-10001950
190;CA-2016-102281;2021-01-10;2021-01-12;First Class;MP-17470;FUR-BO-10002613
191;CA-2016-102281;2021-01-10;2021-01-12;First Class;MP-17470;TEC-PH-10001552
192;CA-2016-102281;2021-01-10;2021-01-12;First Class;MP-17470;OFF-PA-10000061
193;CA-2016-102281;2021-01-10;2021-01-12;First Class;MP-17470;FUR-BO-10002545
194;CA-2016-102281;2021-01-10;2021-01-12;First Class;MP-17470;OFF-AR-10003514
195;CA-2016-131457;2021-01-29;2021-02-04;Standard Class;MZ-17515;OFF-EN-10001509
196;CA-2015-140004;2019-06-19;2019-06-23;Standard Class;CB-12025;OFF-AR-10004685
197;CA-2015-140004;2019-06-19;2019-06-23;Standard Class;CB-12025;OFF-AR-10004027
198;CA-2018-107720;2023-02-04;2023-02-11;Standard Class;VM-21685;OFF-ST-10001414
199;US-2018-124303;2022-10-04;2022-10-11;Standard Class;FH-14365;OFF-BI-10000343
200;US-2018-124303;2022-10-04;2022-10-11;Standard Class;FH-14365;OFF-PA-10002749
201;CA-2018-105074;2022-09-22;2022-09-27;Standard Class;MB-17305;OFF-PA-10002666
202;CA-2015-133690;2019-11-01;2019-11-03;First Class;BS-11755;FUR-TA-10004289
203;CA-2015-133690;2019-11-01;2019-11-03;First Class;BS-11755;OFF-AP-10003622
204;US-2018-116701;2023-03-17;2023-03-21;Second Class;LC-17140;OFF-AP-10003217
205;CA-2018-126382;2022-09-01;2022-09-05;Standard Class;HK-14890;FUR-FU-10002960
206;CA-2018-108329;2023-03-09;2023-03-14;Standard Class;LE-16810;TEC-PH-10001918
207;CA-2018-135860;2023-03-01;2023-03-07;Standard Class;JH-15985;OFF-ST-10000642
208;CA-2018-135860;2023-03-01;2023-03-07;Standard Class;JH-15985;TEC-PH-10001700
209;CA-2018-135860;2023-03-01;2023-03-07;Standard Class;JH-15985;OFF-BI-10003274
210;CA-2018-135860;2023-03-01;2023-03-07;Standard Class;JH-15985;OFF-FA-10000134
211;CA-2018-135860;2023-03-01;2023-03-07;Standard Class;JH-15985;OFF-ST-10001522
212;CA-2016-101007;2020-05-09;2020-05-13;Second Class;MS-17980;TEC-AC-10001266
213;CA-2016-146262;2020-04-01;2020-04-08;Standard Class;VW-21775;OFF-LA-10004544
214;CA-2016-146262;2020-04-01;2020-04-08;Standard Class;VW-21775;FUR-BO-10004695
215;CA-2016-146262;2020-04-01;2020-04-08;Standard Class;VW-21775;TEC-PH-10002844
216;CA-2016-146262;2020-04-01;2020-04-08;Standard Class;VW-21775;TEC-MA-10000864
217;CA-2016-146262;2020-04-01;2020-04-08;Standard Class;VW-21775;TEC-AC-10000109
218;CA-2017-130162;2022-01-26;2022-01-30;Standard Class;JH-15910;OFF-ST-10001328
219;CA-2017-130162;2022-01-26;2022-01-30;Standard Class;JH-15910;TEC-PH-10002563
220;CA-2016-169397;2021-03-24;2021-03-27;First Class;JB-15925;OFF-FA-10000585
221;CA-2016-169397;2021-03-24;2021-03-27;First Class;JB-15925;OFF-PA-10004000
222;CA-2016-169397;2021-03-24;2021-03-27;First Class;JB-15925;OFF-BI-10002852
223;CA-2016-169397;2021-03-24;2021-03-27;First Class;JB-15925;FUR-FU-10000087
224;CA-2016-169397;2021-03-24;2021-03-27;First Class;JB-15925;TEC-MA-10001148
225;CA-2016-169397;2021-03-24;2021-03-27;First Class;JB-15925;OFF-AR-10001958
226;CA-2016-163055;2020-11-07;2020-11-14;Standard Class;DS-13180;OFF-AR-10001026
227;CA-2016-163055;2020-11-07;2020-11-14;Standard Class;DS-13180;FUR-TA-10003748
228;CA-2016-163055;2020-11-07;2020-11-14;Standard Class;DS-13180;OFF-ST-10002485
229;US-2016-145436;2020-05-28;2020-06-02;Standard Class;VD-21670;FUR-CH-10004860
230;US-2016-145436;2020-05-28;2020-06-02;Standard Class;VD-21670;FUR-CH-10004477
231;US-2015-156216;2019-12-12;2019-12-16;Standard Class;EA-14035;OFF-BI-10001679
232;US-2018-100930;2022-07-06;2022-07-11;Standard Class;CS-12400;FUR-TA-10001705
233;US-2018-100930;2022-07-06;2022-07-11;Standard Class;CS-12400;FUR-TA-10003473
234;US-2018-100930;2022-07-06;2022-07-11;Standard Class;CS-12400;OFF-BI-10001679
235;US-2018-100930;2022-07-06;2022-07-11;Standard Class;CS-12400;FUR-FU-10004017
236;US-2018-100930;2022-07-06;2022-07-11;Standard Class;CS-12400;TEC-AC-10003832
237;CA-2018-160514;2023-02-10;2023-02-14;Standard Class;DB-13120;OFF-PA-10002479
238;CA-2017-157749;2021-09-02;2021-09-07;Second Class;KL-16645;OFF-PA-10003349
239;CA-2017-157749;2021-09-02;2021-09-07;Second Class;KL-16645;FUR-FU-10000576
240;CA-2017-157749;2021-09-02;2021-09-07;Second Class;KL-16645;FUR-FU-10004351
241;CA-2017-157749;2021-09-02;2021-09-07;Second Class;KL-16645;TEC-PH-10000011
242;CA-2017-157749;2021-09-02;2021-09-07;Second Class;KL-16645;FUR-TA-10002607
243;CA-2017-157749;2021-09-02;2021-09-07;Second Class;KL-16645;FUR-FU-10002505
244;CA-2017-157749;2021-09-02;2021-09-07;Second Class;KL-16645;OFF-AR-10004685
245;CA-2015-131926;2019-08-30;2019-09-04;Second Class;DW-13480;FUR-CH-10004063
246;CA-2015-131926;2019-08-30;2019-09-04;Second Class;DW-13480;OFF-ST-10002276
247;CA-2015-131926;2019-08-30;2019-09-04;Second Class;DW-13480;OFF-PA-10004082
248;CA-2015-131926;2019-08-30;2019-09-04;Second Class;DW-13480;OFF-AP-10002945
249;CA-2015-131926;2019-08-30;2019-09-04;Second Class;DW-13480;OFF-PA-10000061
250;CA-2017-154739;2022-03-10;2022-03-15;Second Class;LH-17155;FUR-CH-10002965
251;CA-2017-145625;2021-12-10;2021-12-16;Standard Class;KC-16540;OFF-PA-10004569
252;CA-2017-145625;2021-12-10;2021-12-16;Standard Class;KC-16540;TEC-AC-10003832
253;CA-2017-146941;2022-03-10;2022-03-13;First Class;DL-13315;OFF-ST-10001228
254;CA-2017-146941;2022-03-10;2022-03-13;First Class;DL-13315;OFF-EN-10003296
255;US-2016-159982;2021-02-26;2021-03-04;Standard Class;DR-12880;FUR-FU-10002505
256;US-2016-159982;2021-02-26;2021-03-04;Standard Class;DR-12880;OFF-ST-10004804
257;US-2016-159982;2021-02-26;2021-03-04;Standard Class;DR-12880;OFF-ST-10001590
258;US-2016-159982;2021-02-26;2021-03-04;Standard Class;DR-12880;TEC-PH-10001580
259;CA-2018-163139;2023-03-01;2023-03-03;Second Class;CC-12670;TEC-AC-10000290
260;CA-2018-163139;2023-03-01;2023-03-03;Second Class;CC-12670;OFF-ST-10002790
261;CA-2018-163139;2023-03-01;2023-03-03;Second Class;CC-12670;OFF-BI-10003460
262;US-2018-155299;2022-09-06;2022-09-10;Standard Class;Dl-13600;OFF-AP-10002203
263;US-2015-106992;2019-12-18;2019-12-20;Second Class;SB-20290;TEC-MA-10000822
264;US-2015-106992;2019-12-18;2019-12-20;Second Class;SB-20290;TEC-MA-10003353
265;CA-2017-125318;2021-09-04;2021-09-11;Standard Class;RC-19825;TEC-PH-10001433
266;CA-2016-155040;2021-02-08;2021-02-13;Standard Class;AH-10210;TEC-AC-10004469
267;CA-2018-136826;2022-09-14;2022-09-18;Standard Class;CB-12535;OFF-AR-10003602
268;CA-2017-111010;2021-04-22;2021-04-28;Standard Class;PG-18895;OFF-FA-10003472
269;US-2018-145366;2023-03-09;2023-03-13;Standard Class;CA-12310;OFF-ST-10004180
270;US-2018-145366;2023-03-09;2023-03-13;Standard Class;CA-12310;OFF-EN-10004386
271;CA-2018-163979;2023-03-28;2023-04-02;Second Class;KH-16690;OFF-ST-10003208
272;CA-2016-155334;2020-10-28;2020-10-29;First Class;HA-14920;TEC-AC-10003628
273;CA-2016-155334;2020-10-28;2020-10-29;First Class;HA-14920;FUR-FU-10003274
274;CA-2016-155334;2020-10-28;2020-10-29;First Class;HA-14920;OFF-BI-10002557
275;CA-2018-118136;2022-12-15;2022-12-16;First Class;BB-10990;OFF-PA-10002615
276;CA-2018-118136;2022-12-15;2022-12-16;First Class;BB-10990;OFF-AR-10001427
277;CA-2018-132976;2023-01-11;2023-01-15;Standard Class;AG-10495;OFF-PA-10000673
278;CA-2018-132976;2023-01-11;2023-01-15;Standard Class;AG-10495;OFF-PA-10004470
279;CA-2018-132976;2023-01-11;2023-01-15;Standard Class;AG-10495;OFF-ST-10000876
280;CA-2018-132976;2023-01-11;2023-01-15;Standard Class;AG-10495;OFF-LA-10002043
281;US-2016-161991;2020-12-25;2020-12-27;Second Class;SC-20725;OFF-BI-10004967
282;US-2016-161991;2020-12-25;2020-12-27;Second Class;SC-20725;TEC-PH-10001760
283;CA-2016-130890;2021-01-31;2021-02-04;Standard Class;JO-15280;FUR-TA-10002903
284;CA-2016-130883;2020-12-25;2020-12-31;Standard Class;TB-21520;OFF-PA-10000474
285;CA-2016-130883;2020-12-25;2020-12-31;Standard Class;TB-21520;TEC-AC-10001956
286;CA-2016-130883;2020-12-25;2020-12-31;Standard Class;TB-21520;OFF-PA-10004100
287;CA-2017-112697;2022-03-18;2022-03-20;Second Class;AH-10195;OFF-BI-10000778
288;CA-2017-112697;2022-03-18;2022-03-20;Second Class;AH-10195;OFF-AP-10002684
289;CA-2017-112697;2022-03-18;2022-03-20;Second Class;AH-10195;OFF-SU-10000646
290;CA-2017-110772;2022-02-18;2022-02-22;Second Class;NZ-18565;OFF-FA-10002983
291;CA-2017-110772;2022-02-18;2022-02-22;Second Class;NZ-18565;OFF-LA-10004689
292;CA-2017-110772;2022-02-18;2022-02-22;Second Class;NZ-18565;TEC-AC-10002001
293;CA-2017-110772;2022-02-18;2022-02-22;Second Class;NZ-18565;FUR-BO-10004709
294;CA-2015-111451;2020-03-25;2020-03-27;First Class;KL-16555;FUR-FU-10004091
295;CA-2015-111451;2020-03-25;2020-03-27;First Class;KL-16555;FUR-CH-10001891
